satID,Second,Data Bits Generated,Data Bits Generated.1
401,770,True,0
402,770,True,0
403,770,True,0
513,770,True,0
514,770,True,0
515,770,True,0
303,771,True,0
304,771,True,0
401,771,True,0
402,771,True,0
403,771,True,0
513,771,True,0
514,771,True,0
515,771,True,0
303,772,True,0
304,772,True,0
401,772,True,0
402,772,True,0
403,772,True,0
513,772,True,0
514,772,True,0
515,772,True,0
303,773,True,0
304,773,True,0
401,773,True,0
402,773,True,0
403,773,True,0
513,773,True,0
514,773,True,0
515,773,True,0
303,774,True,0
304,774,True,0
401,774,True,228000
402,774,True,228000
403,774,True,0
513,774,True,0
514,774,True,228000
515,774,True,0
303,775,True,0
304,775,True,0
401,775,True,401280
402,775,True,451440
403,775,True,0
513,775,True,0
514,775,True,451440
515,775,True,451440
303,776,True,0
304,776,True,214320
401,776,True,419520
402,776,True,419520
403,776,True,0
513,776,True,214320
514,776,True,419520
515,776,True,205200
303,777,True,118560
304,777,True,442320
401,777,True,647520
402,777,True,442320
403,777,True,0
513,777,True,647520
514,777,True,647520
515,777,True,0
303,778,True,0
304,778,True,205200
401,778,True,419520
402,778,True,433200
403,778,True,0
513,778,True,205200
514,778,True,433200
515,778,True,228000
303,779,True,0
304,779,True,0
401,779,True,428640
402,779,True,428640
403,779,True,0
513,779,True,0
514,779,True,428640
515,779,True,428640
303,780,True,0
304,780,True,214320
401,780,True,214320
402,780,True,214320
403,780,True,0
513,780,True,214320
514,780,True,214320
515,780,True,0
303,781,True,0
304,781,True,228000
401,781,True,228000
402,781,True,228000
403,781,True,0
513,781,True,228000
514,781,True,228000
515,781,True,0
303,782,True,0
304,782,True,0
401,782,True,0
402,782,True,0
403,782,True,0
513,782,True,0
514,782,True,0
515,782,True,0
303,783,True,145920
304,783,True,0
401,783,True,209760
402,783,True,0
403,783,True,0
513,783,True,209760
514,783,True,209760
515,783,True,0
303,784,True,150480
304,784,True,0
401,784,True,214320
402,784,True,0
403,784,True,0
513,784,True,214320
514,784,True,214320
515,784,True,0
303,785,True,155040
304,785,True,0
401,785,True,228000
402,785,True,0
403,785,True,0
513,785,True,228000
514,785,True,228000
515,785,True,0
303,786,True,159600
304,786,True,0
401,786,True,424080
402,786,True,205200
403,786,True,0
513,786,True,218880
514,786,True,424080
515,786,True,205200
303,787,True,0
304,787,True,0
401,787,True,433200
402,787,True,433200
403,787,True,0
513,787,True,0
514,787,True,433200
515,787,True,433200
303,788,True,0
304,788,True,0
401,788,True,0
402,788,True,0
403,788,True,0
513,788,True,0
514,788,True,0
515,788,True,0
303,789,True,173280
304,789,True,0
401,789,True,228000
402,789,True,0
403,789,True,0
513,789,True,228000
514,789,True,228000
515,789,True,0
303,790,True,0
304,790,True,0
401,790,True,0
402,790,True,0
403,790,True,0
513,790,True,0
514,790,True,0
515,790,True,0
303,791,True,0
304,791,True,0
401,791,True,209760
402,791,True,209760
403,791,True,0
513,791,True,0
514,791,True,209760
515,791,True,209760
303,792,True,0
304,792,True,0
401,792,True,209760
402,792,True,209760
403,792,True,0
513,792,True,0
514,792,True,209760
515,792,True,209760
303,793,True,0
304,793,True,0
401,793,True,223440
402,793,True,223440
403,793,True,0
513,793,True,0
514,793,True,223440
515,793,True,223440
303,794,True,0
304,794,True,0
401,794,True,0
402,794,True,0
403,794,True,0
513,794,True,0
514,794,True,0
515,794,True,0
303,795,True,0
304,795,True,0
401,795,True,0
402,795,True,0
403,795,True,0
513,795,True,0
514,795,True,0
515,795,True,0
303,796,True,0
304,796,True,0
401,796,True,0
402,796,True,0
403,796,True,0
513,796,True,0
514,796,True,0
515,796,True,0
303,797,True,0
304,797,True,0
401,797,True,0
402,797,True,0
403,797,True,0
513,797,True,0
514,797,True,0
515,797,True,0
303,798,True,0
304,798,True,0
401,798,True,218880
402,798,True,218880
403,798,True,0
513,798,True,0
514,798,True,218880
515,798,True,218880
303,799,True,0
304,799,True,0
401,799,True,451440
402,799,True,451440
403,799,True,0
513,799,True,0
514,799,True,451440
515,799,True,451440
303,800,True,0
304,800,True,0
401,800,True,0
402,800,True,0
403,800,True,0
513,800,True,0
514,800,True,0
515,800,True,0
303,801,True,0
304,801,True,0
401,801,True,0
402,801,True,0
403,801,True,0
513,801,True,0
514,801,True,0
515,801,True,0
303,802,True,0
304,802,True,0
401,802,True,647520
402,802,True,647520
403,802,True,0
513,802,True,0
514,802,True,647520
515,802,True,442320
303,803,True,0
304,803,True,0
401,803,True,0
402,803,True,0
403,803,True,0
513,803,True,0
514,803,True,0
515,803,True,0
303,804,True,0
304,804,True,0
401,804,True,419520
402,804,True,419520
403,804,True,0
513,804,True,0
514,804,True,419520
515,804,True,0
303,805,True,0
304,805,True,0
401,805,True,228000
402,805,True,228000
403,805,True,0
513,805,True,0
514,805,True,228000
