satID,Second,Data Bits Generated,Data Bits Generated
208,690,TRUE,0
209,690,TRUE,0
303,690,TRUE,0
304,690,TRUE,214320
306,690,TRUE,0
401,690,TRUE,437760
402,690,TRUE,665760
403,690,TRUE,0
513,690,TRUE,0
514,690,TRUE,665760
515,690,TRUE,228000
109,691,TRUE,0
110,691,TRUE,0
111,691,TRUE,0
207,691,TRUE,0
208,691,TRUE,0
209,691,TRUE,0
303,691,TRUE,0
304,691,TRUE,0
306,691,TRUE,0
401,691,TRUE,0
402,691,TRUE,0
403,691,TRUE,0
513,691,TRUE,0
514,691,TRUE,0
515,691,TRUE,0
109,692,TRUE,0
110,692,TRUE,0
111,692,TRUE,0
207,692,TRUE,0
208,692,TRUE,0
209,692,TRUE,0
303,692,TRUE,0
304,692,TRUE,214320
306,692,TRUE,0
401,692,TRUE,857280
402,692,TRUE,857280
403,692,TRUE,0
513,692,TRUE,0
514,692,TRUE,857280
515,692,TRUE,0
109,693,TRUE,0
110,693,TRUE,0
111,693,TRUE,0
207,693,TRUE,0
208,693,TRUE,0
209,693,TRUE,0
303,693,TRUE,0
304,693,TRUE,223440
306,693,TRUE,0
401,693,TRUE,442320
402,693,TRUE,442320
403,693,TRUE,0
513,693,TRUE,0
514,693,TRUE,442320
515,693,TRUE,0
109,694,TRUE,0
110,694,TRUE,0
111,694,TRUE,0
207,694,TRUE,0
208,694,TRUE,0
209,694,TRUE,0
303,694,TRUE,0
304,694,TRUE,0
306,694,TRUE,0
401,694,TRUE,0
402,694,TRUE,0
403,694,TRUE,0
513,694,TRUE,0
514,694,TRUE,0
515,694,TRUE,0
109,695,TRUE,0
110,695,TRUE,223440
111,695,TRUE,0
207,695,TRUE,223440
208,695,TRUE,223440
209,695,TRUE,0
303,695,TRUE,0
304,695,TRUE,0
306,695,TRUE,0
401,695,TRUE,228000
402,695,TRUE,228000
403,695,TRUE,0
513,695,TRUE,0
514,695,TRUE,228000
515,695,TRUE,0
109,696,TRUE,0
110,696,TRUE,629280
111,696,TRUE,0
207,696,TRUE,629280
208,696,TRUE,629280
209,696,TRUE,0
303,696,TRUE,0
304,696,TRUE,0
306,696,TRUE,0
401,696,TRUE,0
402,696,TRUE,0
403,696,TRUE,0
513,696,TRUE,0
514,696,TRUE,0
515,696,TRUE,0
109,697,TRUE,0
110,697,TRUE,0
111,697,TRUE,0
207,697,TRUE,0
208,697,TRUE,0
209,697,TRUE,0
303,697,TRUE,0
304,697,TRUE,0
306,697,TRUE,0
401,697,TRUE,205200
402,697,TRUE,205200
403,697,TRUE,0
513,697,TRUE,0
514,697,TRUE,205200
515,697,TRUE,0
